date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:25:57	5236/5236	---MCZ	200	added ('OK')	text/css	etag:W/%225f0d5365-1b27%22	https://html.dynamiclayers.net/te/cleanz/assets/css/magnific-popup.css	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/css/magnific-popup.css	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:25:58	3099/3099	---MCZ	200	added ('OK')	text/css	etag:W/%225f0d5368-c1b%22	https://html.dynamiclayers.net/te/cleanz/assets/css/nice-select.css	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/css/nice-select.css	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:25:59	3273/3273	---MCZ	200	added ('OK')	text/css	etag:W/%225f0d536b-cc9%22	https://html.dynamiclayers.net/te/cleanz/assets/css/odometer.min.css	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/css/odometer.min.css	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:01	47726/47726	---MCZ	200	added ('OK')	text/css	etag:W/%225f0d5369-fedb%22	https://html.dynamiclayers.net/te/cleanz/assets/css/main.css	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/css/main.css	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:02	20106/20106	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f0d544e-4e8a%22	https://html.dynamiclayers.net/te/cleanz/assets/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:02	2858/2858	---M--	200	added ('OK')	image/png	etag:%225f0d53d7-b2a%22	https://html.dynamiclayers.net/te/cleanz/assets/img/logo-dark.png	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/logo-dark.png	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:04	248712/248712	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2006:40:09%20GMT	https://html.dynamiclayers.net/te/cleanz/index-2.html	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/index-2.html	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:04	47037/47037	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2006:40:11%20GMT	https://html.dynamiclayers.net/te/cleanz/index-3.html	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/index-3.html	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:06	134193/134193	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2006:40:12%20GMT	https://html.dynamiclayers.net/te/cleanz/index-4.html	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/index-4.html	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:07	39469/39469	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2006:39:57%20GMT	https://html.dynamiclayers.net/te/cleanz/about-us.html	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/about-us.html	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:08	42696/42696	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2006:39:57%20GMT	https://html.dynamiclayers.net/te/cleanz/about-company.html	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/about-company.html	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:09	79927/79927	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2006:40:22%20GMT	https://html.dynamiclayers.net/te/cleanz/services.html	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/services.html	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:10	10730/10730	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2006:40:17%20GMT	https://html.dynamiclayers.net/te/cleanz/projects-3-col.html	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/projects-3-col.html	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:11	11147/11147	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2006:40:20%20GMT	https://html.dynamiclayers.net/te/cleanz/projects-4-col.html	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/projects-4-col.html	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:12	10924/10924	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2006:40:17%20GMT	https://html.dynamiclayers.net/te/cleanz/project-details.html	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/project-details.html	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:13	15241/15241	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2006:40:23%20GMT	https://html.dynamiclayers.net/te/cleanz/team.html	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/team.html	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:14	11654/11654	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2006:40:15%20GMT	https://html.dynamiclayers.net/te/cleanz/pricing-plans.html	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/pricing-plans.html	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:15	12723/12723	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2006:40:08%20GMT	https://html.dynamiclayers.net/te/cleanz/faq.html	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/faq.html	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:16	8513/8513	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2006:39:53%20GMT	https://html.dynamiclayers.net/te/cleanz/404.html	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/404.html	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:17	12922/12922	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2006:40:02%20GMT	https://html.dynamiclayers.net/te/cleanz/blog-grid.html	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/blog-grid.html	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:18	12039/12039	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2006:40:00%20GMT	https://html.dynamiclayers.net/te/cleanz/blog-classic.html	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/blog-classic.html	(from https://html.dynamiclayers.net/te/cleanz/index.html)
